slug,marca,nombre,genero,concentracion,volumen_ml,tiene_piramide,salida,corazon,fondo,notas,acordes,fragrantica_url,ficha
afnan-supremacy-not-only,Afnan,Supremacy Not Only Intense,hombre,extrait,100,1,grosellas negras | bergamota | manzana,musgo de roble | pachulí | lavanda,ámbar gris | almizcle | azafrán,grosellas negras | bergamota | manzana | musgo de roble | pachulí | lavanda | ámbar gris | almizcle | azafrán,afrutados | musgoso | amaderado | terrosos | cítrico | fresco especiado | ámbar | animálico | aromático | cálido especiado,https://www.fragrantica.es/perfume/Afnan/Supremacy-Not-Only-Intense-68271.html,https://privateriche.com/perfume-arabe/afnan-supremacy-not-only
afnan-supremacy-silver,Afnan,Supremacy Silver,hombre,edp,100,1,piña | bergamota | grosellas negras | manzana,abedul | pachulí | jazmín de Marruecos | rosa,almizcle | musgo de roble | ámbar gris | vainilla,piña | bergamota | grosellas negras | manzana | abedul | pachulí | jazmín de Marruecos | rosa | almizcle | musgo de roble | ámbar gris | vainilla,afrutados | cuero | amaderado | dulce | ahumado | cítrico | almizclado | musgoso | tropical | terrosos,https://www.fragrantica.es/perfume/Afnan/Supremacy-Silver-27352.html,https://privateriche.com/perfume-arabe/afnan-supremacy-silver
afnan-supremacy-in-oud,Afnan,Supremacy in Oud,unisex,extrait,100,1,azafrán | nuez moscada | lavanda,madera de oud | notas dulces,pachulí | almizcle,azafrán | nuez moscada | lavanda | madera de oud | notas dulces | pachulí | almizcle,oud | cálido especiado | fresco especiado | dulce | pachulí | metálico | lavanda | almizclado | cuero | amaderado,https://www.fragrantica.es/perfume/Afnan/Supremacy-in-Oud-68283.html,https://privateriche.com/perfume-arabe/afnan-supremacy-in-oud
afnan-turathi-blue,Afnan,Turathi Blue,hombre,edp,90,1,cítricos,notas amaderadas | ámbar,almizcle | especias | pachulí,cítricos | notas amaderadas | ámbar | almizcle | especias | pachulí,cítrico | almizclado | amaderado | fresco | ámbar | atalcado | cálido especiado | pachulí | fresco especiado,https://www.fragrantica.es/perfume/Afnan/Turathi-Blue-70839.html,https://privateriche.com/perfume-arabe/afnan-turathi-blue
ajmal-amber-wood,Ajmal,Amber Wood,unisex,edp,50,1,cardamomo | manzana | lavanda | pimienta blanca,cedro | raíz de lirio,ámbar | notas amaderadas | pachulí,cardamomo | manzana | lavanda | pimienta blanca | cedro | raíz de lirio | ámbar | notas amaderadas | pachulí,amaderado | cálido especiado | ámbar | fresco especiado | aromático | pachulí | atalcado | lavanda | afrutados,https://www.fragrantica.es/perfume/Ajmal/Amber-Wood-26016.html,https://privateriche.com/perfume-arabe/ajmal-amber-wood
ajmal-aristocrat,Ajmal,Aristocrat,hombre,edp,75,1,bergamota | lima (limón verde) | sandía,almizcle | azucena | jazmín,almizcle | madera de oud | cedro | ámbar | pachulí,bergamota | lima (limón verde) | sandía | almizcle | azucena | jazmín | almizcle | madera de oud | cedro | ámbar | pachulí,cítrico | floral blanco | amaderado | almizclado | atalcado | oud | fresco especiado | ozónico | ámbar | acuático,https://www.fragrantica.es/perfume/Ajmal/Aristocrat-45061.html,https://privateriche.com/perfume-arabe/ajmal-aristocrat
ajmal-aurum,Ajmal,Aurum,mujer,edp,75,1,frambuesa | limón (lima ácida),notas afrutadas | gardenia | flor de azahar del naranjo | jazmín | notas especiadas,notas atalcadas | vainilla | almizcle | ámbar | notas amaderadas,frambuesa | limón (lima ácida) | notas afrutadas | gardenia | flor de azahar del naranjo | jazmín | notas especiadas | notas atalcadas | vainilla | almizcle | ámbar | notas amaderadas,floral blanco | afrutados | dulce | atalcado | cítrico | avainillado | almizclado | animálico | ámbar,https://www.fragrantica.es/perfume/Ajmal/Aurum-14028.html,https://privateriche.com/perfume-arabe/ajmal-aurum
ajmal-evoke-gold-edition,Ajmal,Evoke Gold Edition,hombre,edp,75,1,neroli | pimienta,raíz de lirio | ámbar | geranio,cedro | pachulí,neroli | pimienta | raíz de lirio | ámbar | geranio | cedro | pachulí,iris | fresco especiado | amaderado | atalcado | terrosos | aromático | ámbar | cálido especiado | floral blanco | cítrico,https://www.fragrantica.es/perfume/Ajmal/Evoke-Gold-For-Him-51252.html,https://privateriche.com/perfume-arabe/ajmal-evoke-gold-edition
ajmal-sacrifice-for-him,Ajmal,Sacrifice for Him,hombre,edp,100,0,,,,naranja | flor de jengibre | cardamomo | almizcle | cedro | nuez moscada,fresco especiado | cítrico | cálido especiado | almizclado | amaderado | atalcado | aromático | fresco | dulce,https://www.fragrantica.es/perfume/Ajmal/Sacrifice-for-Him-15098.html,https://privateriche.com/perfume-arabe/ajmal-sacrifice-for-him
ajmal-wisal,Ajmal,Wisal,mujer,edp,50,0,,,,rosa | especias | almizcle | notas florales | sándalo,rosas | florales | cálido especiado | almizclado | atalcado | amaderado,https://www.fragrantica.es/perfume/Ajmal/Wisal-15109.html,https://privateriche.com/perfume-arabe/ajmal-wisal
al-haramain-amber-oud-aqua-dubai,Al Haramain,Amber Oud Aqua Dubai,unisex,extrait,75,1,notas verdes | bergamota | mandarina,melón | ámbar | grosellas negras | piña,almizcle | petit grain | gálbano | vainilla,notas verdes | bergamota | mandarina | melón | ámbar | grosellas negras | piña | almizcle | petit grain | gálbano | vainilla,cítrico | verde | almizclado | aromático | fresco especiado | afrutados | atalcado,https://www.fragrantica.es/perfume/Al-Haramain-Perfumes/Amber-Oud-Aqua-Dubai-96482.html,https://privateriche.com/perfume-arabe/al-haramain-amber-oud-aqua-dubai
al-haramain-amber-oud-bleu-edition,Al Haramain,Amber Oud Bleu Edition,unisex,,100,1,toronja (pomelo) | limón (lima ácida) | menta | pimienta rosa,jengibre | vetiver | jazmín,incienso de olíbano (franquincienso) | sándalo | cedro | pachulí,toronja (pomelo) | limón (lima ácida) | menta | pimienta rosa | jengibre | vetiver | jazmín | incienso de olíbano (franquincienso) | sándalo | cedro | pachulí,cítrico | amaderado | fresco especiado | aromático | verde | ámbar | cálido especiado | fresco,https://www.fragrantica.es/perfume/Al-Haramain-Perfumes/Amber-Oud-Bleu-Edition-73206.html,https://privateriche.com/perfume-arabe/al-haramain-amber-oud-bleu-edition
al-haramain-amber-oud-dubai-night,Al Haramain,Amber Oud Dubai Night,hombre,extrait,75,1,azafrán | bergamota | elemí,rosa de Bulgaria (rosa Damascena de Bulgaria) | madera de oud | lirio de los valles (muguete),haba tonka | ámbar | almizcle blanco | musgo de roble,azafrán | bergamota | elemí | rosa de Bulgaria (rosa Damascena de Bulgaria) | madera de oud | lirio de los valles (muguete) | haba tonka | ámbar | almizcle blanco | musgo de roble,ámbar | cálido especiado | rosas | oud | aromático | cítrico | avainillado | almizclado,https://www.fragrantica.es/perfume/Al-Haramain-Perfumes/Amber-Oud-Dubai-Night-96481.html,https://privateriche.com/perfume-arabe/al-haramain-amber-oud-dubai-night
al-haramain-amber-oud-gold-edition,Al Haramain,Amber Oud Gold Edition,unisex,edp,60,1,bergamota | notas verdes,melón | piña | ámbar | Acorde goloso,vainilla | almizcle | notas amaderadas,bergamota | notas verdes | melón | piña | ámbar | Acorde goloso | vainilla | almizcle | notas amaderadas,dulce | afrutados | ozónico | avainillado | atalcado | almizclado | fresco | ámbar | acuático | cítrico,https://www.fragrantica.es/perfume/Al-Haramain-Perfumes/Amber-Oud-Gold-Edition-51816.html,https://privateriche.com/perfume-arabe/al-haramain-amber-oud-gold-edition
al-haramain-l-aventure-knight,Al Haramain,L'Aventure Knight,hombre,edp,100,1,"cedrón (hierba luisa, verbena de olor) | bergamota | té",hojas de violeta | iris,notas atalcadas | ámbar gris | almizcle | sándalo,"cedrón (hierba luisa, verbena de olor) | bergamota | té | hojas de violeta | iris | notas atalcadas | ámbar gris | almizcle | sándalo",atalcado | cítrico | ozónico | amaderado | iris | ámbar | verde | almizclado | acuático | animálico,https://www.fragrantica.es/perfume/Al-Haramain-Perfumes/L-Aventure-Knight-51824.html,https://privateriche.com/perfume-arabe/al-haramain-l-aventure-knight
al-haramain-madinah,Al Haramain,Madinah,unisex,edp,100,1,rosa | geranio | Davana | naranja | bergamota,rosa | sándalo | azafrán | orquídea | jazmín | cedro | clavos de olor,sándalo | almizcle | notas florales | ámbar | cedro | cachemira,rosa | geranio | Davana | naranja | bergamota | rosa | sándalo | azafrán | orquídea | jazmín | cedro | clavos de olor | sándalo | almizcle | notas florales | ámbar | cedro | cachemira,rosas | florales | cálido especiado | amaderado | atalcado | floral blanco | metálico,https://www.fragrantica.es/perfume/Al-Haramain-Perfumes/Madinah-19946.html,https://privateriche.com/perfume-arabe/al-haramain-madinah
al-haramain-oudh-36,Al Haramain,Oudh 36,hombre,edp,75,1,ládano | ylang-ylang | geranio,rosa | pachulí | cedro,ládano | ámbar | benjuí,ládano | ylang-ylang | geranio | rosa | pachulí | cedro | ládano | ámbar | benjuí,ámbar | amaderado | rosas | cálido especiado | pachulí | balsámico,https://www.fragrantica.es/perfume/Al-Haramain-Perfumes/Oudh-36-53256.html,https://privateriche.com/perfume-arabe/al-haramain-oudh-36
arabian-oud-kalemat,Arabian Oud,Kalemat,unisex,edp,50,1,moras azules | anís,madera de cachemira | notas florales | romero,ámbar | miel | almizcle,moras azules | anís | madera de cachemira | notas florales | romero | ámbar | miel | almizcle,ámbar | almizclado | amielado | dulce | amaderado | florales | afrutados | atalcado | animálico | especiado suave,https://www.fragrantica.es/perfume/Arabian-Oud/Kalemat-21623.html,https://privateriche.com/perfume-arabe/arabian-oud-kalemat
arabian-oud-kashmiri,Arabian Oud,Kashmir,hombre,edp,100,1,yuzu | grosellas negras | ciruela,jazmín | rosa,madera de cachemira | madera de oud | almizcle blanco | vainilla,yuzu | grosellas negras | ciruela | jazmín | rosa | madera de cachemira | madera de oud | almizcle blanco | vainilla,afrutados | amaderado | almizclado | cítrico | dulce | oud | florales | avainillado | verde | fresco especiado,https://www.fragrantica.es/perfume/Arabian-Oud/Kashmir-63057.html,https://privateriche.com/perfume-arabe/arabian-oud-kashmiri
arabian-oud-resala,Arabian Oud,Resala,mujer,edp,75,0,,,,chocolate | pétalos de rosa | notas amaderadas | vainilla | azafrán,cálido especiado | rosas | amaderado | chocolate | avainillado | dulce | metálico | cacao | cuero | florales,https://www.fragrantica.es/perfume/Arabian-Oud/Resala-53104.html,https://privateriche.com/perfume-arabe/arabian-oud-resala
swiss-arabian-oud-24-hours,Ard Al Zaafaran,Oud 24 Hours,unisex,edp,100,1,chocolate oscuro | mandarina | bergamota,notas especiadas | notas afrutadas | gardenia | ylang-ylang | jazmín,pachulí | madera de oud | sándalo | incienso | ámbar,chocolate oscuro | mandarina | bergamota | notas especiadas | notas afrutadas | gardenia | ylang-ylang | jazmín | pachulí | madera de oud | sándalo | incienso | ámbar,cálido especiado | amaderado | dulce | chocolate | ámbar | pachulí | afrutados | floral blanco | cítrico | balsámico,https://www.fragrantica.es/perfume/Ard-Al-Zaafaran/Oud-24-Hours-42090.html,https://privateriche.com/perfume-arabe/swiss-arabian-oud-24-hours
armaf-club-de-nuit-iconic,Armaf,Club de Nuit Iconic,hombre,edp,105,1,toronja (pomelo) | limón (lima ácida) | menta | pimienta rosa | cilantro,jengibre | melón | jazmín | nuez moscada,notas amaderadas | incienso | sándalo | ámbar | cedro | pachulí | ládano,toronja (pomelo) | limón (lima ácida) | menta | pimienta rosa | cilantro | jengibre | melón | jazmín | nuez moscada | notas amaderadas | incienso | sándalo | ámbar | cedro | pachulí | ládano,cítrico | amaderado | fresco especiado | ámbar | aromático | fresco | cálido especiado | balsámico | verde | ahumado,https://www.fragrantica.es/perfume/Armaf/Club-de-Nuit-Blue-Iconic-78475.html,https://privateriche.com/perfume-arabe/armaf-club-de-nuit-iconic
armaf-club-de-nuit-imperiale,Armaf,Club de Nuit Imperiale,hombre,edp,105,1,lichi | bergamota | nuez moscada,rosa turca | vainilla | almizcle | peonía,vainilla | incienso | cachemira | cedro,lichi | bergamota | nuez moscada | rosa turca | vainilla | almizcle | peonía | vainilla | incienso | cachemira | cedro,rosas | florales | atalcado | almizclado | avainillado | fresco | amaderado | afrutados | fresco especiado | tropical,https://www.fragrantica.es/perfume/Armaf/Club-de-Nuit-White-Imperiale-78474.html,https://privateriche.com/perfume-arabe/armaf-club-de-nuit-imperiale
armaf-club-de-nuit-intense-man,Armaf,Club de Nuit Intense Man,hombre,edp,105,1,limón (lima ácida) | piña | bergamota | grosellas negras | manzana,abedul | jazmín | rosa,almizcle | ámbar gris | pachulí | vainilla,limón (lima ácida) | piña | bergamota | grosellas negras | manzana | abedul | jazmín | rosa | almizcle | ámbar gris | pachulí | vainilla,cítrico | afrutados | cuero | ahumado | amaderado | aromático | dulce | fresco | almizclado,https://www.fragrantica.es/perfume/Armaf/Club-de-Nuit-Intense-Man-34696.html,https://privateriche.com/perfume-arabe/armaf-club-de-nuit-intense-man
armaf-club-de-nuit-milestone,Armaf,Club de Nuit Milestone,hombre,edp,105,1,notas marinas | Frutas rojas | bergamota,violeta | maderas blancas | sándalo,almizcle | ambroxan | vetiver,notas marinas | Frutas rojas | bergamota | violeta | maderas blancas | sándalo | almizcle | ambroxan | vetiver,marino | aromático | amaderado | atalcado | almizclado | afrutados | violeta | cítrico | ámbar | salado,https://www.fragrantica.es/perfume/Armaf/Club-de-Nuit-Milestone-64104.html,https://privateriche.com/perfume-arabe/armaf-club-de-nuit-milestone
armaf-club-de-nuit-oud,Armaf,Club de Nuit Oud,unisex,edp,105,1,durazno (melocotón) | pera | maracuyá (fruta de la pasión) | piña | ciruela | bergamota,madera de cachemira | jazmín | hojas de violeta | fresia,almizcle | Oud camboyano | vainilla | ámbar cristalino,durazno (melocotón) | pera | maracuyá (fruta de la pasión) | piña | ciruela | bergamota | madera de cachemira | jazmín | hojas de violeta | fresia | almizcle | Oud camboyano | vainilla | ámbar cristalino,afrutados | dulce | amaderado | almizclado | atalcado | animálico | ámbar | tropical | fresco | avainillado,https://www.fragrantica.es/perfume/Armaf/Club-de-Nuit-Oud-88825.html,https://privateriche.com/perfume-arabe/armaf-club-de-nuit-oud
armaf-club-de-nuit-sillage,Armaf,Club de Nuit Sillage,hombre,edp,105,1,bergamota | limón (lima ácida) | lima (limón verde) | grosellas negras | hojas de violeta | jengibre,rosa | iris | jazmín,ambroxan | almizcle | sándalo | cedro,bergamota | limón (lima ácida) | lima (limón verde) | grosellas negras | hojas de violeta | jengibre | rosa | iris | jazmín | ambroxan | almizcle | sándalo | cedro,cítrico | almizclado | amaderado | fresco especiado | atalcado | aromático | ámbar | afrutados | florales | rosas,https://www.fragrantica.es/perfume/Armaf/Club-de-Nuit-Sillage-64105.html,https://privateriche.com/perfume-arabe/armaf-club-de-nuit-sillage
armaf-club-de-nuit-untold,Armaf,Club de Nuit Untold,mujer,edp,105,1,azafrán | jazmín,Amberwood | ámbar gris,resina de abeto | cedro,azafrán | jazmín | Amberwood | ámbar gris | resina de abeto | cedro,amaderado | ámbar | cálido especiado | metálico | floral blanco | animálico | cuero | fresco especiado | aromático,https://www.fragrantica.es/perfume/Armaf/Club-de-Nuit-Untold-78476.html,https://privateriche.com/perfume-arabe/armaf-club-de-nuit-untold
armaf-club-de-nuit-women,Armaf,Club de Nuit Women,mujer,edp,105,1,naranja | bergamota | toronja (pomelo) | durazno (melocotón),rosa | jazmín | geranio | lichi,pachulí | almizcle | vainilla | vetiver,naranja | bergamota | toronja (pomelo) | durazno (melocotón) | rosa | jazmín | geranio | lichi | pachulí | almizcle | vainilla | vetiver,cítrico | pachulí | rosas | fresco especiado | amaderado | aromático | terrosos | atalcado | almizclado | cálido especiado,https://www.fragrantica.es/perfume/Armaf/Club-de-Nuit-Woman-27655.html,https://privateriche.com/perfume-arabe/armaf-club-de-nuit-women
armaf-odyssey-aoud,Armaf,Odyssey Aoud,unisex,edp,100,1,azafrán | nuez moscada | lavanda,madera de oud | notas amaderadas,ambroxan | almizcle | pachulí,azafrán | nuez moscada | lavanda | madera de oud | notas amaderadas | ambroxan | almizcle | pachulí,amaderado | oud | almizclado | cálido especiado | fresco especiado | ámbar | lavanda | pachulí | metálico | atalcado,https://www.fragrantica.es/perfume/Armaf/Odyssey-Aoud-83136.html,https://privateriche.com/perfume-arabe/armaf-odyssey-aoud
armaf-odyssey-artisto,Armaf,Odyssey Artisto,unisex,,100,1,bergamota | Notas de frutos secos | salvia,coco | frutas tropicales | canela,vainilla | haba tonka | ámbar,bergamota | Notas de frutos secos | salvia | coco | frutas tropicales | canela | vainilla | haba tonka | ámbar,avainillado | coco | dulce | ámbar | tropical | cítrico | aromático | nueces | cálido especiado | canela,https://www.fragrantica.es/perfume/Armaf/Odyssey-Artisto-106710.html,https://privateriche.com/perfume-arabe/armaf-odyssey-artisto
armaf-odyssey-ba-ha-mas,Armaf,Odyssey Ba Ha Mas,unisex,,100,1,melón | Melón cantalupo | Algas | sal | pera | manzana Granny Smith | ciruela,Notas acuáticas | nenúfar (lirio de agua) | musgo de roble | Incienso,almizcle | ámbar | azúcar | cedro,melón | Melón cantalupo | Algas | sal | pera | manzana Granny Smith | ciruela | Notas acuáticas | nenúfar (lirio de agua) | musgo de roble | Incienso | almizcle | ámbar | azúcar | cedro,marino | acuático | afrutados | salado | dulce | fresco | ozónico | aromático | ámbar | almizclado,https://www.fragrantica.es/perfume/Armaf/Odyssey-BA-HA-MAS-115127.html,https://privateriche.com/perfume-arabe/armaf-odyssey-ba-ha-mas
armaf-odyssey-candee,Armaf,Odyssey Candee,unisex,edp,100,1,fresa | frambuesa | geranio | durazno (melocotón) | bergamota,caramelo | jazmín | maracuyá (fruta de la pasión),pachulí | almizcle | ámbar,fresa | frambuesa | geranio | durazno (melocotón) | bergamota | caramelo | jazmín | maracuyá (fruta de la pasión) | pachulí | almizcle | ámbar,afrutados | dulce | pachulí | caramelo | amaderado | cálido especiado | fresco especiado | almizclado | atalcado | floral blanco,https://www.fragrantica.es/perfume/Armaf/Odyssey-Candee-96990.html,https://privateriche.com/perfume-arabe/armaf-odyssey-candee
armaf-odyssey-dubai-chocolat,Armaf,Odyssey Dubai Chocolat,unisex,edp,100,1,café | pistacho (pistache) | avellana | praliné | Knafeh,chocolate | vainilla | cardamomo,caramelo | Amberwood | haba tonka,café | pistacho (pistache) | avellana | praliné | Knafeh | chocolate | vainilla | cardamomo | caramelo | Amberwood | haba tonka,cálido especiado | dulce | nueces | amaderado | café | chocolate | avainillado | ámbar | caramelo,https://www.fragrantica.es/perfume/Armaf/Odyssey-Dubai-Chocolat-102117.html,https://privateriche.com/perfume-arabe/armaf-odyssey-dubai-chocolat
armaf-odyssey-homme,Armaf,Odyssey Homme,hombre,edp,100,1,cardamomo | neroli | mandarina,flor de azahar del naranjo | rosa,vainilla | notas amaderadas | sándalo | ámbar,cardamomo | neroli | mandarina | flor de azahar del naranjo | rosa | vainilla | notas amaderadas | sándalo | ámbar,amaderado | cálido especiado | avainillado | cítrico | atalcado | floral blanco | ámbar | aromático | dulce,https://www.fragrantica.es/perfume/Armaf/Odyssey-Homme-64464.html,https://privateriche.com/perfume-arabe/armaf-odyssey-homme
armaf-odyssey-mandarin-sky,Armaf,Odyssey Mandarin Sky,unisex,edp,100,1,mandarina | naranja | azafrán | salvia,"caramelo | haba tonka | cempasúchil (tagete, clavelón)",ambroxan | cedro | vetiver,"mandarina | naranja | azafrán | salvia | caramelo | haba tonka | cempasúchil (tagete, clavelón) | ambroxan | cedro | vetiver",cítrico | caramelo | dulce | ámbar | aromático | avainillado | amaderado,https://www.fragrantica.es/perfume/Armaf/Odyssey-Mandarin-Sky-83132.html,https://privateriche.com/perfume-arabe/armaf-odyssey-mandarin-sky
armaf-odyssey-mandarin-sky-elixir,Armaf,Odyssey Mandarin Sky Elixir,unisex,,100,1,mandarina | naranja | lavanda | cardamomo | pimienta negra,caramelo | haba tonka | pachulí | incienso,vainilla | vetiver,mandarina | naranja | lavanda | cardamomo | pimienta negra | caramelo | haba tonka | pachulí | incienso | vainilla | vetiver,cítrico | avainillado | dulce | caramelo | cálido especiado | aromático | ámbar | balsámico | fresco especiado | lavanda,https://www.fragrantica.es/perfume/Armaf/Odyssey-Mandarin-Sky-Elixir-106709.html,https://privateriche.com/perfume-arabe/armaf-odyssey-mandarin-sky-elixir
armaf-odyssey-marshmallow,Armaf,Odyssey Marshmallow,unisex,,100,1,coco | manzana | peonía | limón (lima ácida) | lirio de los valles (muguete),malvavisco (bombón) | fresa | frambuesa | durazno (melocotón) | chabacano | flor de azahar del naranjo,Queso mascarpone | vainilla | praliné | almizcle | haba tonka | ámbar,coco | manzana | peonía | limón (lima ácida) | lirio de los valles (muguete) | malvavisco (bombón) | fresa | frambuesa | durazno (melocotón) | chabacano | flor de azahar del naranjo | Queso mascarpone | vainilla | praliné | almizcle | haba tonka | ámbar,dulce | afrutados | atalcado | avainillado | lactónico,https://www.fragrantica.es/perfume/Armaf/Odyssey-Marshmallow-115132.html,https://privateriche.com/perfume-arabe/armaf-odyssey-marshmallow
armaf-odyssey-mega,Armaf,Odyssey Mega,hombre,edp,100,1,naranja | limón (lima ácida) | bergamota | jengibre | menta,piña | salvia | enebro | geranio,almizcle | cedro | haba tonka | vetiver,naranja | limón (lima ácida) | bergamota | jengibre | menta | piña | salvia | enebro | geranio | almizcle | cedro | haba tonka | vetiver,cítrico | aromático | fresco especiado | dulce | amaderado | fresco | verde | almizclado | afrutados,https://www.fragrantica.es/perfume/Armaf/Odyssey-Mega-Man-83133.html,https://privateriche.com/perfume-arabe/armaf-odyssey-mega
armaf-odyssey-spectra,Armaf,Odyssey Spectra,unisex,edp,100,1,canela | manzana | bergamota,lavanda | canela | flor de azahar del naranjo | lirio de los valles (muguete),vainilla | tabaco | ámbar | haba tonka | pachulí,canela | manzana | bergamota | lavanda | canela | flor de azahar del naranjo | lirio de los valles (muguete) | vainilla | tabaco | ámbar | haba tonka | pachulí,avainillado | cálido especiado | lavanda | canela | ámbar | dulce | afrutados | aromático | tabaco | fresco especiado,https://www.fragrantica.es/perfume/Armaf/Odyssey-Spectra-98692.html,https://privateriche.com/perfume-arabe/armaf-odyssey-spectra
